accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
E.362:97-1993,1993.0,O203574,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:96-1993,1993.0,O203573,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:95-1993,1993.0,O203572,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:94-1993,1993.0,O203571,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:93-1993,1993.0,O203570,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:92-1993,1993.0,O203569,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:91-1993,1993.0,O203568,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:90-1993,1993.0,O203567,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:89-1993,1993.0,O203566,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:88-1993,1993.0,O203565,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:87-1993,1993.0,O203564,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:86-1993,1993.0,O203563,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:85-1993,1993.0,O203562,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:84-1993,1993.0,O203561,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:83-1993,1993.0,O203560,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:82-1993,1993.0,O203559,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:81-1993,1993.0,O203558,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:80-1993,1993.0,O203557,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:79-1993,1993.0,O203556,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:78-1993,1993.0,O203555,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:77-1993,1993.0,O203554,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:76-1993,1993.0,O203553,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:75-1993,1993.0,O203552,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:74-1993,1993.0,O203551,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:73-1993,1993.0,O203550,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:72-1993,1993.0,O203549,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:71-1993,1993.0,O203548,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:70-1993,1993.0,O203547,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:69-1993,1993.0,O203546,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:68-1993,1993.0,O203545,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:67-1993,1993.0,O203544,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:66-1993,1993.0,O203543,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:65-1993,1993.0,O203542,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:64-1993,1993.0,O203541,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:63-1993,1993.0,O203540,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:62-1993,1993.0,O203539,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:61-1993,1993.0,O203538,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:60-1993,1993.0,O203537,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:59-1993,1993.0,O203536,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:58-1993,1993.0,O203535,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:57-1993,1993.0,O203534,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:56-1993,1993.0,O203533,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:55-1993,1993.0,O203532,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:54-1993,1993.0,O203531,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:53-1993,1993.0,O203530,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:52-1993,1993.0,O203529,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:51-1993,1993.0,O203528,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:50-1993,1993.0,O203527,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:49-1993,1993.0,O203526,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:48-1993,1993.0,O203525,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:47-1993,1993.0,O203524,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:46-1993,1993.0,O203523,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:45-1993,1993.0,O203522,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:44-1993,1993.0,O203521,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:43-1993,1993.0,O203520,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:42-1993,1993.0,O203519,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:41-1993,1993.0,O203518,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:40-1993,1993.0,O203517,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:39-1993,1993.0,O203516,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:38-1993,1993.0,O203515,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:37-1993,1993.0,O203514,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:36-1993,1993.0,O203513,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:35-1993,1993.0,O203512,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:34-1993,1993.0,O203511,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:33-1993,1993.0,O203510,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:32-1993,1993.0,O203509,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:31-1993,1993.0,O203508,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:30-1993,1993.0,O203507,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:29-1993,1993.0,O203506,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:28-1993,1993.0,O203505,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:27-1993,1993.0,O203504,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:26-1993,1993.0,O203503,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:25-1993,1993.0,O203502,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:24-1993,1993.0,O203501,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:23-1993,1993.0,O203500,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:22-1993,1993.0,O203499,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:21-1993,1993.0,O203498,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:20-1993,1993.0,O203497,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:19-1993,1993.0,O203496,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:18-1993,1993.0,O203495,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:17-1993,1993.0,O203494,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:16-1993,1993.0,O203493,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:15-1993,1993.0,O203492,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:14-1993,1993.0,O203491,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:13-1993,1993.0,O203490,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:12-1993,1993.0,O203489,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:11-1993,1993.0,O203488,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:10-1993,1993.0,O203487,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:9-1993,1993.0,O203486,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:8-1993,1993.0,O203485,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:7-1993,1993.0,O203484,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:6-1993,1993.0,O203483,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:5-1993,1993.0,O203482,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:4-1993,1993.0,O203481,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:3-1993,1993.0,O203480,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:2-1993,1993.0,O203479,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.362:1-1993,1993.0,O203478,Drawing,,France,Unknown,,1923,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:211-1993,1993.0,O203477,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:210-1993,1993.0,O203476,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:209-1993,1993.0,O203475,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:208-1993,1993.0,O203474,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:207-1993,1993.0,O203473,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:206-1993,1993.0,O203472,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:205-1993,1993.0,O203471,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:204-1993,1993.0,O203470,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:203-1993,1993.0,O203469,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:202-1993,1993.0,O203468,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:201-1993,1993.0,O203467,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:200-1993,1993.0,O203466,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:199-1993,1993.0,O203465,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:198-1993,1993.0,O203464,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:197-1993,1993.0,O203463,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:196-1993,1993.0,O203462,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:195-1993,1993.0,O203461,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:194-1993,1993.0,O203460,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:193-1993,1993.0,O203459,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:192-1993,1993.0,O203458,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:191-1993,1993.0,O203457,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:190-1993,1993.0,O203456,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:189-1993,1993.0,O203455,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:188-1993,1993.0,O203454,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:187-1993,1993.0,O203453,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:186-1993,1993.0,O203452,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:185-1993,1993.0,O203451,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:184-1993,1993.0,O203450,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:183-1993,1993.0,O203449,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:182-1993,1993.0,O203448,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:181-1993,1993.0,O203447,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:180-1993,1993.0,O203446,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:179-1993,1993.0,O203445,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:178-1993,1993.0,O203444,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:177-1993,1993.0,O203443,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:176-1993,1993.0,O203442,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:175-1993,1993.0,O203441,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:174-1993,1993.0,O203440,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:173-1993,1993.0,O203439,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:172-1993,1993.0,O203438,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:171-1993,1993.0,O203437,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:170-1993,1993.0,O203436,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:169-1993,1993.0,O203435,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:168-1993,1993.0,O203434,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:167-1993,1993.0,O203433,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:166-1993,1993.0,O203432,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:165-1993,1993.0,O203431,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:164-1993,1993.0,O203430,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:163-1993,1993.0,O203429,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:162-1993,1993.0,O203428,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:161-1993,1993.0,O203427,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:160-1993,1993.0,O203426,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:159-1993,1993.0,O203425,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:158-1993,1993.0,O203424,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:157-1993,1993.0,O203423,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:156-1993,1993.0,O203422,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:155-1993,1993.0,O203421,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:154-1993,1993.0,O203420,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:153-1993,1993.0,O203419,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:152-1993,1993.0,O203418,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:151-1993,1993.0,O203417,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:150-1993,1993.0,O203416,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:149-1993,1993.0,O203415,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:148-1993,1993.0,O203414,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:147-1993,1993.0,O203413,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:146-1993,1993.0,O203412,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:145-1993,1993.0,O203411,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:144-1993,1993.0,O203410,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:143-1993,1993.0,O203409,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:142-1993,1993.0,O203408,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:141-1993,1993.0,O203407,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:140-1993,1993.0,O203406,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:139-1993,1993.0,O203405,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:138-1993,1993.0,O203404,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:137-1993,1993.0,O203403,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:136-1993,1993.0,O203402,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:135-1993,1993.0,O203401,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:134-1993,1993.0,O203400,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:133-1993,1993.0,O203399,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:132-1993,1993.0,O203398,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:131-1993,1993.0,O203397,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:130-1993,1993.0,O203396,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:129-1993,1993.0,O203395,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:128-1993,1993.0,O203394,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:127-1993,1993.0,O203393,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:126-1993,1993.0,O203392,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:125-1993,1993.0,O203391,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:124-1993,1993.0,O203390,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:123-1993,1993.0,O203389,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:122-1993,1993.0,O203388,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:121-1993,1993.0,O203387,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:120-1993,1993.0,O203386,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:119-1993,1993.0,O203385,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:118-1993,1993.0,O203384,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:117-1993,1993.0,O203383,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:116-1993,1993.0,O203382,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:115-1993,1993.0,O203381,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:114-1993,1993.0,O203380,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:113-1993,1993.0,O203379,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:112-1993,1993.0,O203378,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:111-1993,1993.0,O203377,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:110-1993,1993.0,O203376,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:109-1993,1993.0,O203375,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:108-1993,1993.0,O203374,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:107-1993,1993.0,O203373,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:106-1993,1993.0,O203372,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:105-1993,1993.0,O203371,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:104-1993,1993.0,O203370,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:103-1993,1993.0,O203369,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:102-1993,1993.0,O203368,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
E.361:101-1993,1993.0,O203367,Drawing,,France,Unknown,,1920s,,pencil,marbled,,"Prints & Drawings Study Room, level D",False,False
